Narration,Sales,Expenses,Operating Profit,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,OPM
Dec-21,"  2,880.65 ","  2,298.29 ",  582.36 ,  128.08 ,  111.43 ,  6.07 ,  592.94 ,  136.81 ,  456.13 ,20%
Mar-22,"  3,193.32 ","  2,436.27 ",  757.05 ,  171.81 ,  119.44 ,  3.13 ,  806.29 ,  196.15 ,  610.14 ,24%
Jun-22,"  3,397.46 ","  2,566.37 ",  831.09 ,  82.44 ,  116.22 ,  5.22 ,  792.09 ,  181.43 ,  610.66 ,24%
Sep-22,"  3,519.40 ","  2,697.79 ",  821.61 ,  192.74 ,  127.12 ,  7.06 ,  880.17 ,  223.31 ,  656.86 ,23%
Dec-22,"  3,721.00 ","  2,863.77 ",  857.23 ,  256.21 ,  134.84 ,  7.58 ,  971.02 ,  230.18 ,  740.84 ,23%
Mar-23,"  3,804.32 ","  2,870.67 ",  933.65 ,  378.89 ,  148.03 ,  8.16 ,"  1,156.35 ",  250.77 ,  905.58 ,25%
Jun-23,"  3,986.37 ","  2,965.53 ","  1,020.84 ",  343.65 ,  142.27 ,  10.43 ,"  1,211.79 ",  293.45 ,  918.34 ,26%
Sep-23,"  4,114.53 ","  3,027.37 ","  1,087.16 ",  375.40 ,  142.54 ,  12.68 ,"  1,307.34 ",  291.09 ,"  1,016.25 ",26%
Dec-23,"  4,178.84 ","  3,088.57 ","  1,090.27 ",  367.58 ,  147.54 ,  12.43 ,"  1,297.88 ",  301.91 ,  995.97 ,26%
Mar-24,"  4,256.04 ","  3,127.40 ","  1,128.64 ",  436.96 ,  165.25 ,  15.34 ,"  1,385.01 ",  314.56 ,"  1,070.45 ",27%
